Model,Avg Similarity,Inference Time (ms),Model Size (MB),Embedding Dimension
all-MiniLM-L6-v2,0.571352756023407,483.4578037261963,22.713216,384
all-mpnet-base-v2,0.5247598499059677,1665.081262588501,109.486464,768
paraphrase-MiniLM-L6-v2,0.5311229724436999,337.13626861572266,22.713216,384
sentence-t5-base,0.853555154800415,1534.7349643707275,110.218368,768
stsb-roberta-large,0.43756508976221087,5861.428260803223,355.359744,1024
